file: /dev/rdsk/c1t50000397384389A2d0s2
size: 0x1177082f400
buffer size: 8192
writers: 2
readers: 0
using initial write LBA: 0x8bb8416000
                TIME  NREADS RDLATus  NWRITE WRLATus          WRLBA WR
2017-11-03T20:25:32Z       0       0   20945      94 0x008bc27bc000  0
2017-11-03T20:25:33Z       0       0   41566      95 0x008bcc8d6000  0
2017-11-03T20:25:34Z       0       0   61961      95 0x008bd682c000  0
2017-11-03T20:25:35Z       0       0   83016      95 0x008be0caa000  0
2017-11-03T20:25:36Z       0       0  104417      94 0x008beb3dc000  0
2017-11-03T20:25:37Z       0       0  125996      94 0x008bf5c72000  0
2017-11-03T20:25:38Z       0       0  147058      94 0x008c000fe000  0
2017-11-03T20:25:39Z       0       0  168670      93 0x008c0a9d6000  0
2017-11-03T20:25:40Z       0       0  189684      94 0x008c14e02000  0
2017-11-03T20:25:41Z       0       0  209742      94 0x008c1eab6000  0
2017-11-03T20:25:42Z       0       0  231476      94 0x008c29482000  0
2017-11-03T20:25:43Z       0       0  253427      93 0x008c34000000  0
2017-11-03T20:25:44Z       0       0  275163      93 0x008c3e9d0000  0
2017-11-03T20:25:45Z       0       0  295219      93 0x008c48680000  0
2017-11-03T20:25:46Z       0       0  316361      93 0x008c52bac000  0
2017-11-03T20:25:47Z       0       0  337852      93 0x008c5d392000  0
2017-11-03T20:25:48Z       0       0  358907      93 0x008c67810000  0
2017-11-03T20:25:49Z       0       0  380497      93 0x008c720bc000  0
2017-11-03T20:25:50Z       0       0  402006      93 0x008c7c8c6000  0
2017-11-03T20:25:51Z       0       0  423068      93 0x008c86d52000  0
2017-11-03T20:25:52Z       0       0  443456      93 0x008c90c9a000  0
2017-11-03T20:25:53Z       0       0  464068      93 0x008c9ada2000  0
2017-11-03T20:25:54Z       0       0  485129      93 0x008ca522c000  0
2017-11-03T20:25:55Z       0       0  506064      93 0x008caf5ba000  0
2017-11-03T20:25:56Z       0       0  526506      94 0x008cb956e000  0
2017-11-03T20:25:57Z       0       0  546956      94 0x008cc3532000  0
2017-11-03T20:25:58Z       0       0  568018      94 0x008ccd9be000  0
2017-11-03T20:25:59Z       0       0  589613      94 0x008cd8274000  0
2017-11-03T20:26:00Z       0       0  611117      94 0x008ce2a74000  0
2017-11-03T20:26:01Z       0       0  632172      94 0x008cecef2000  0
2017-11-03T20:26:02Z       0       0  653998      93 0x008cf7976000  0
2017-11-03T20:26:03Z       0       0  674936      93 0x008d01d0a000  0
2017-11-03T20:26:04Z       0       0  694986      94 0x008d0b9ae000  0
2017-11-03T20:26:05Z       0       0  711882      94 0x008d13dae000  0
2017-11-03T20:26:06Z       0       0  719523      96 0x008d17960000  0
2017-11-03T20:26:07Z       0       0  727156      98 0x008d1b502000  0
2017-11-03T20:26:08Z       0       0  734778      99 0x008d1f08e000  0
2017-11-03T20:26:09Z       0       0  742410     101 0x008d22c2e000  0
2017-11-03T20:26:10Z       0       0  750051     103 0x008d267e0000  0
2017-11-03T20:26:11Z       0       0  757672     104 0x008d2a36a000  0
2017-11-03T20:26:12Z       0       0  765220     106 0x008d2de62000  0
2017-11-03T20:26:13Z       0       0  772774     107 0x008d31966000  0
2017-11-03T20:26:14Z       0       0  780322     109 0x008d3545e000  0
2017-11-03T20:26:15Z       0       0  787876     110 0x008d38f62000  0
2017-11-03T20:26:16Z       0       0  795458     112 0x008d3ca9e000  0
2017-11-03T20:26:17Z       0       0  803047     113 0x008d405e8000  0
2017-11-03T20:26:18Z       0       0  810605     115 0x008d440f4000  0
2017-11-03T20:26:19Z       0       0  818174     116 0x008d47c16000  0
2017-11-03T20:26:20Z       0       0  825732     117 0x008d4b722000  0
2017-11-03T20:26:21Z       0       0  833282     119 0x008d4f21e000  0
2017-11-03T20:26:22Z       0       0  840864     120 0x008d52d5a000  0
2017-11-03T20:26:23Z       0       0  848400     121 0x008d5683a000  0
2017-11-03T20:26:24Z       0       0  855951     122 0x008d5a338000  0
2017-11-03T20:26:25Z       0       0  863468     124 0x008d5ddf2000  0
2017-11-03T20:26:26Z       0       0  870988     125 0x008d618b2000  0
2017-11-03T20:26:27Z       0       0  878492     126 0x008d65352000  0
2017-11-03T20:26:28Z       0       0  886029     127 0x008d68e34000  0
2017-11-03T20:26:29Z       0       0  893526     128 0x008d6c8c6000  0
2017-11-03T20:26:30Z       0       0  901043     130 0x008d70380000  0
2017-11-03T20:26:31Z       0       0  908569     131 0x008d73e4c000  0
2017-11-03T20:26:32Z       0       0  916036     132 0x008d778a2000  0
2017-11-03T20:26:33Z       0       0  923339     133 0x008d7b1b0000  0
2017-11-03T20:26:34Z       0       0  930468     134 0x008d7e962000  0
2017-11-03T20:26:35Z       0       0  937585     135 0x008d820fc000  0
2017-11-03T20:26:36Z       0       0  945058     136 0x008d85b5e000  0
2017-11-03T20:26:37Z       0       0  952510     137 0x008d89596000  0
2017-11-03T20:26:38Z       0       0  959958     138 0x008d8cfc6000  0
2017-11-03T20:26:39Z       0       0  967417     139 0x008d90a0c000  0
2017-11-03T20:26:40Z       0       0  974860     140 0x008d94432000  0
2017-11-03T20:26:41Z       0       0  982310     141 0x008d97e66000  0
2017-11-03T20:26:42Z       0       0  989757     142 0x008d9b894000  0
