file: /dev/rdsk/c1t5000CCA0805CC741d0s2
size: 0x1177082f400
buffer size: 8192
writers: 2
readers: 0
using initial write LBA: 0x8bb8416000
                TIME  NREADS RDLATus  NWRITE WRLATus          WRLBA WR
2017-11-03T20:27:56Z       0       0   23588      83 0x008bc3c62000  0
2017-11-03T20:27:57Z       0       0   46566      85 0x008bcefe6000  0
2017-11-03T20:27:58Z       0       0   69219      85 0x008bda0e0000  0
2017-11-03T20:27:59Z       0       0   91558      86 0x008be4f66000  0
2017-11-03T20:28:00Z       0       0  113898      86 0x008befdee000  0
2017-11-03T20:28:01Z       0       0  137149      86 0x008bfb394000  0
2017-11-03T20:28:02Z       0       0  161084      86 0x008c06e92000  0
2017-11-03T20:28:03Z       0       0  184408      85 0x008c124ca000  0
2017-11-03T20:28:04Z       0       0  206747      86 0x008c1d350000  0
2017-11-03T20:28:05Z       0       0  229087      86 0x008c281d8000  0
2017-11-03T20:28:06Z       0       0  251997      86 0x008c334d4000  0
2017-11-03T20:28:07Z       0       0  275239      86 0x008c3ea68000  0
2017-11-03T20:28:08Z       0       0  297873      86 0x008c49b3c000  0
2017-11-03T20:28:09Z       0       0  320370      86 0x008c54afe000  0
2017-11-03T20:28:10Z       0       0  342891      86 0x008c5faf0000  0
2017-11-03T20:28:11Z       0       0  365869      86 0x008c6ae74000  0
2017-11-03T20:28:12Z       0       0  388979      86 0x008c76300000  0
2017-11-03T20:28:13Z       0       0  411604      86 0x008c813c2000  0
2017-11-03T20:28:14Z       0       0  433944      86 0x008c8c24a000  0
2017-11-03T20:28:15Z       0       0  456307      86 0x008c97100000  0
2017-11-03T20:28:16Z       0       0  479837      86 0x008ca28d4000  0
2017-11-03T20:28:17Z       0       0  503771      86 0x008cae3d0000  0
2017-11-03T20:28:18Z       0       0  526680      86 0x008cb96ca000  0
2017-11-03T20:28:19Z       0       0  549018      86 0x008cc454e000  0
2017-11-03T20:28:20Z       0       0  571068      86 0x008ccf192000  0
2017-11-03T20:28:21Z       0       0  594179      86 0x008cda620000  0
2017-11-03T20:28:22Z       0       0  617358      86 0x008ce5b36000  0
2017-11-03T20:28:23Z       0       0  640146      86 0x008cf0d3e000  0
2017-11-03T20:28:24Z       0       0  662516      86 0x008cfbc02000  0
2017-11-03T20:28:25Z       0       0  684756      86 0x008d069c2000  0
2017-11-03T20:28:26Z       0       0  707459      86 0x008d11b20000  0
2017-11-03T20:28:27Z       0       0  730570      86 0x008d1cfae000  0
2017-11-03T20:28:28Z       0       0  753263      86 0x008d280f8000  0
2017-11-03T20:28:29Z       0       0  775603      86 0x008d32f80000  0
2017-11-03T20:28:30Z       0       0  797815      86 0x008d3dd08000  0
2017-11-03T20:28:31Z       0       0  821438      86 0x008d49596000  0
2017-11-03T20:28:32Z       0       0  844963      86 0x008d54d60000  0
2017-11-03T20:28:33Z       0       0  867810      86 0x008d5ffde000  0
