file: /dev/rdsk/c0t5000C50093C2290Fd0s2
size: 0x1177082f400
buffer size: 8192
writers: 2
readers: 0
using initial write LBA: 0x8bb8416000
                TIME  NREADS RDLATus  NWRITE WRLATus          WRLBA WR
2017-11-03T20:30:52Z       0       0   21360      92 0x008bc2afa000  0
2017-11-03T20:30:53Z       0       0   42953      92 0x008bcd3ac000  0
2017-11-03T20:30:54Z       0       0   64415      92 0x008bd7b58000  0
2017-11-03T20:30:55Z       0       0   85985      92 0x008be23dc000  0
2017-11-03T20:30:56Z       0       0  107260      92 0x008beca12000  0
2017-11-03T20:30:57Z       0       0  128826      92 0x008bf728e000  0
2017-11-03T20:30:58Z       0       0  150290      92 0x008c01a3e000  0
2017-11-03T20:30:59Z       0       0  171898      92 0x008c0c30e000  0
2017-11-03T20:31:00Z       0       0  193451      92 0x008c16b70000  0
2017-11-03T20:31:01Z       0       0  214975      92 0x008c21398000  0
2017-11-03T20:31:02Z       0       0  236570      92 0x008c2bc4e000  0
2017-11-03T20:31:03Z       0       0  257794      92 0x008c3621e000  0
2017-11-03T20:31:04Z       0       0  279176      92 0x008c4092a000  0
2017-11-03T20:31:05Z       0       0  300132      92 0x008c4ace2000  0
2017-11-03T20:31:06Z       0       0  321520      92 0x008c553fa000  0
2017-11-03T20:31:07Z       0       0  342799      92 0x008c5fa38000  0
2017-11-03T20:31:08Z       0       0  364212      92 0x008c6a182000  0
2017-11-03T20:31:09Z       0       0  385543      92 0x008c74828000  0
2017-11-03T20:31:10Z       0       0  406910      92 0x008c7ef16000  0
2017-11-03T20:31:11Z       0       0  428327      92 0x008c89668000  0
2017-11-03T20:31:12Z       0       0  449459      92 0x008c93b80000  0
2017-11-03T20:31:13Z       0       0  470854      92 0x008c9e2a6000  0
2017-11-03T20:31:14Z       0       0  492065      92 0x008ca885c000  0
2017-11-03T20:31:15Z       0       0  513325      92 0x008cb2e74000  0
2017-11-03T20:31:16Z       0       0  534598      92 0x008cbd4a6000  0
2017-11-03T20:31:17Z       0       0  556015      92 0x008cc7bf8000  0
2017-11-03T20:31:18Z       0       0  577272      92 0x008cd220a000  0
2017-11-03T20:31:19Z       0       0  598599      92 0x008cdc8a8000  0
2017-11-03T20:31:20Z       0       0  620017      92 0x008ce6ffc000  0
2017-11-03T20:31:21Z       0       0  641247      92 0x008cf15d8000  0
2017-11-03T20:31:22Z       0       0  662653      92 0x008cfbd14000  0
2017-11-03T20:31:23Z       0       0  683737      92 0x008d061cc000  0
2017-11-03T20:31:24Z       0       0  705128      92 0x008d108ea000  0
2017-11-03T20:31:25Z       0       0  726426      92 0x008d1af4e000  0
2017-11-03T20:31:26Z       0       0  747826      92 0x008d2567e000  0
2017-11-03T20:31:27Z       0       0  769213      92 0x008d2fd94000  0
2017-11-03T20:31:28Z       0       0  790525      92 0x008d3a414000  0
2017-11-03T20:31:29Z       0       0  811937      92 0x008d44b5c000  0
2017-11-03T20:31:30Z       0       0  833168      92 0x008d4f13a000  0
2017-11-03T20:31:31Z       0       0  854580      92 0x008d59882000  0
2017-11-03T20:31:32Z       0       0  875659      92 0x008d63d30000  0
2017-11-03T20:31:33Z       0       0  897062      92 0x008d6e466000  0
2017-11-03T20:31:34Z       0       0  918244      92 0x008d789e2000  0
2017-11-03T20:31:35Z       0       0  939632      92 0x008d830fa000  0
2017-11-03T20:31:36Z       0       0  961006      92 0x008d8d7f6000  0
2017-11-03T20:31:37Z       0       0  982347      92 0x008d97eb0000  0
2017-11-03T20:31:38Z       0       0 1003626      92 0x008da24ee000  0
2017-11-03T20:31:39Z       0       0 1024805      92 0x008daca64000  0
2017-11-03T20:31:40Z       0       0 1046248      92 0x008db71ea000  0
2017-11-03T20:31:41Z       0       0 1067343      92 0x008dc16b8000  0
2017-11-03T20:31:42Z       0       0 1088745      92 0x008dcbdec000  0
2017-11-03T20:31:43Z       0       0 1110039      92 0x008dd6448000  0
2017-11-03T20:31:44Z       0       0 1131435      92 0x008de0b70000  0
2017-11-03T20:31:45Z       0       0 1152830      92 0x008deb296000  0
2017-11-03T20:31:46Z       0       0 1174157      92 0x008df5934000  0
2017-11-03T20:31:47Z       0       0 1195559      92 0x008e00068000  0
2017-11-03T20:31:48Z       0       0 1216593      92 0x008e0a4bc000  0
2017-11-03T20:31:49Z       0       0 1238043      92 0x008e14c50000  0
2017-11-03T20:31:50Z       0       0 1259139      92 0x008e1f120000  0
2017-11-03T20:31:51Z       0       0 1280549      92 0x008e29864000  0
2017-11-03T20:31:52Z       0       0 1301865      92 0x008e33eec000  0
2017-11-03T20:31:53Z       0       0 1323246      92 0x008e3e5f6000  0
2017-11-03T20:31:54Z       0       0 1344653      92 0x008e48d34000  0
2017-11-03T20:31:55Z       0       0 1365963      92 0x008e533b0000  0
2017-11-03T20:31:56Z       0       0 1387358      92 0x008e5dad6000  0
2017-11-03T20:31:57Z       0       0 1408514      92 0x008e6801e000  0
2017-11-03T20:31:58Z       0       0 1429954      92 0x008e7279e000  0
2017-11-03T20:31:59Z       0       0 1451079      92 0x008e7cca8000  0
2017-11-03T20:32:00Z       0       0 1472483      92 0x008e873e0000  0
2017-11-03T20:32:01Z       0       0 1493803      92 0x008e91a70000  0
2017-11-03T20:32:02Z       0       0 1515078      92 0x008e9c0a8000  0
2017-11-03T20:32:03Z       0       0 1536327      92 0x008ea66aa000  0
2017-11-03T20:32:04Z       0       0 1557648      92 0x008eb0d3c000  0
2017-11-03T20:32:05Z       0       0 1579060      92 0x008ebb484000  0
2017-11-03T20:32:06Z       0       0 1600153      92 0x008ec594e000  0
2017-11-03T20:32:07Z       0       0 1621595      92 0x008ed00d2000  0
2017-11-03T20:32:08Z       0       0 1642769      92 0x008eda63e000  0
2017-11-03T20:32:09Z       0       0 1664045      92 0x008ee4c76000  0
2017-11-03T20:32:10Z       0       0 1685358      92 0x008eef2f8000  0
2017-11-03T20:32:11Z       0       0 1706760      92 0x008ef9a2c000  0
2017-11-03T20:32:12Z       0       0 1728150      92 0x008f04148000  0
2017-11-03T20:32:13Z       0       0 1749456      92 0x008f0e7bc000  0
2017-11-03T20:32:14Z       0       0 1770982      92 0x008f18fe8000  0
